256;Internet Pratique hiver 2003;Ouvrage de référence
257;XP Solutions aou/sep 2004;Ouvrage de référence
258;Pêche Mouche sept/oct 2004;Ouvrage de référence
259;Mel Bay's complete book of bass technique;Ouvrage de référence
260;BASS  Spécial Bass Métal;Ouvrage de référence
261;Brochure d'accueil sept 2001;Ouvrage de référence
262;BASS Spécial Cordes;Ouvrage de référence
263;Guitar & Bass mars 95;Ouvrage de référence
264;Méthode de basse pour débutant;Ouvrage de référence
265;Pizzicato Funk for electric and acoustic bass;Ouvrage de référence
266;Rock&Folk mai 1996;Ouvrage de référence
267;SELECT stuff about music aug 1991;Ouvrage de référence
268;Rock, Slap & Funk Bass;Ouvrage de référence
269;BASS player aug 1995;Ouvrage de référence
270;BEST of CURE Hors Série;Ouvrage de référence
271;BASS  magazine juil/aou 1997;Ouvrage de référence
272;Guitar & Bass juin 95;Ouvrage de référence
273;BASS Spécial Groove;Ouvrage de référence
274;Computer music oct 2000;Ouvrage de référence
275;Ragga janvier 2003;Ouvrage de référence
276;RAGGA février 2003;Ouvrage de référence
277;RAGGA septembre 2001;Ouvrage de référence
278;RAGGA novembre 2000;Ouvrage de référence
279;RAGGA octobre 2000;Ouvrage de référence
280;RAGGA;Ouvrage de référence
281;RAGGA hors série Groove;Ouvrage de référence
282;RAGGA novembre 2001;Ouvrage de référence
283;RAGGA décembre 2002;Ouvrage de référence
284;Iconographie;Ouvrage de référence
285;Biophysique;Ouvrage de référence
286;Cours de Physique générale Electrodynamique;Ouvrage de référence
287;Cours de Physique générale Electrodynamique (suite);Ouvrage de référence
288;Métrologie;Ouvrage de référence
289;Introduction à l'électronique pour ingénieurs physiciens;Ouvrage de référence
290;Analyse numérique Notes de cours;Ouvrage de référence
291;Abacule;Ouvrage de référence
292;Abacule;Ouvrage de référence
293;Abacule;Ouvrage de référence
294;Abacule;Ouvrage de référence
295;PlayStation Magazine juin 2000;Ouvrage de référence
296;Polyrama 2004;Ouvrage de référence
297;Science & Vie Junior Le monde étrange des particules;Ouvrage de référence
298;COMSOL news 2004;Ouvrage de référence
299;Femlab 3 Multiphysics Modeling;Ouvrage de référence
300;Generation 4 novembre 98;Ouvrage de référence
301;Introduction à l a Physique Nucléaire et Corpusculaire;Ouvrage de référence
302;Résumé du cours de Droit;Ouvrage de référence
303;Formage des métaux;Ouvrage de référence
304;Pour la Science juillet 1998;Ouvrage de référence
305;Pour la Science mai 1996;Ouvrage de référence
306;La Recherche spécial juil/aou 1995;Ouvrage de référence
307;Time december 1999;Ouvrage de référence
308;La Recherche décembre 1999;Ouvrage de référence
